,Variable,Value,model
64,Deuxième appareil Photo arrière,,Samsung Galaxy A56 128 Go Gris 5G
65,Type objectif appareil photo arrière 2,Grand angle,Samsung Galaxy A56 128 Go Gris 5G
66,Nombre de mégapixels de la deuxième caméra arrière,12 Mpx,Samsung Galaxy A56 128 Go Gris 5G
67,Diaphragme fixe de la deuxième caméra arrière,"2,2",Samsung Galaxy A56 128 Go Gris 5G
68,Type de stabilisation d'image de la deuxième caméra arrière,Pas de stabilisation d'image,Samsung Galaxy A56 128 Go Gris 5G
69,Mise au point automatique deuxième caméra au dos,,Samsung Galaxy A56 128 Go Gris 5G
70,Fonction zoom optique deuxième caméra au dos,,Samsung Galaxy A56 128 Go Gris 5G
71,Troisième caméra arrière,,Samsung Galaxy A56 128 Go Gris 5G
72,Type d'objectif caméra arrière 3,Objectif macro,Samsung Galaxy A56 128 Go Gris 5G
73,Quatrième caméra au dos,,Samsung Galaxy A56 128 Go Gris 5G
74,Cinquième appareil photo à l'arrière,,Samsung Galaxy A56 128 Go Gris 5G
75,Caméra avant,,Samsung Galaxy A56 128 Go Gris 5G
76,Type de caméra avant,Dans l'écran,Samsung Galaxy A56 128 Go Gris 5G
77,Nombre de mégapixels appareil photo avant,12 Mpx,Samsung Galaxy A56 128 Go Gris 5G
78,Diaphragme fixe de la caméra avant,"2,2",Samsung Galaxy A56 128 Go Gris 5G
79,Type de stabilisation d'image caméra avant,Pas de stabilisation d'image,Samsung Galaxy A56 128 Go Gris 5G
80,Flash avant,,Samsung Galaxy A56 128 Go Gris 5G
81,Deuxième caméra avant,,Samsung Galaxy A56 128 Go Gris 5G
82,Diagonale de l'écran,"6,7 p",Samsung Galaxy A56 128 Go Gris 5G
83,Screen-to-body-ratio,"87,4 %",Samsung Galaxy A56 128 Go Gris 5G
84,Qualité écran,Très bien,Samsung Galaxy A56 128 Go Gris 5G
85,Pliable,,Samsung Galaxy A56 128 Go Gris 5G
86,Taux de rafraîchissement,120 Hz,Samsung Galaxy A56 128 Go Gris 5G
87,Densité de pixels,385 ppp,Samsung Galaxy A56 128 Go Gris 5G
88,LED de notification,,Samsung Galaxy A56 128 Go Gris 5G
89,Écran tactile,,Samsung Galaxy A56 128 Go Gris 5G
90,Netteté,Full HD (1080p),Samsung Galaxy A56 128 Go Gris 5G
91,Type d'écran,Super AMOLED,Samsung Galaxy A56 128 Go Gris 5G
92,Antigriffes,,Samsung Galaxy A56 128 Go Gris 5G
93,Gorilla Glass,,Samsung Galaxy A56 128 Go Gris 5G
94,Gorilla Glass Type,Gorilla Glass 7,Samsung Galaxy A56 128 Go Gris 5G
95,Coup de pouce pour votre HDR,,Samsung Galaxy A56 128 Go Gris 5G
96,Type HDR,HDR10,Samsung Galaxy A56 128 Go Gris 5G
97,Capacité batterie/pile,5 Ah,Samsung Galaxy A56 128 Go Gris 5G
98,Fonction charge rapide,,Samsung Galaxy A56 128 Go Gris 5G
99,Type de charge rapide,Samsung Adaptive Fast Charge,Samsung Galaxy A56 128 Go Gris 5G
100,Batterie chargée en 30 minutes,Entre 61 % et 70 %,Samsung Galaxy A56 128 Go Gris 5G
101,Vitesse de chargement,Rapide,Samsung Galaxy A56 128 Go Gris 5G
102,Puissance filaire charge rapide,45 W,Samsung Galaxy A56 128 Go Gris 5G
103,Recharge sans fil,,Samsung Galaxy A56 128 Go Gris 5G
104,Pour charger d'autres appareils sans fil,,Samsung Galaxy A56 128 Go Gris 5G
105,Accu/batterie interchangeable,,Samsung Galaxy A56 128 Go Gris 5G
106,Options de connexion internet,4G et 5G,Samsung Galaxy A56 128 Go Gris 5G
107,Wi-Fi intégré,,Samsung Galaxy A56 128 Go Gris 5G
108,Standard Wi-Fi,"Wi-Fi G (Wi-Fi 3), Wireless A (Wifi 2), Wireless AC (Wi-Fi 5), Wireless AX (Wi-Fi 6), Wireless AXE (Wifi 6E), Wireless B (Wifi 1), Wireless N (Wi-Fi 4)",Samsung Galaxy A56 128 Go Gris 5G
109,Bluetooth,,Samsung Galaxy A56 128 Go Gris 5G
110,Version Bluetooth,5.4,Samsung Galaxy A56 128 Go Gris 5G
111,NFC,,Samsung Galaxy A56 128 Go Gris 5G
112,Connexion casque audio,,Samsung Galaxy A56 128 Go Gris 5G
113,Connexion USB,,Samsung Galaxy A56 128 Go Gris 5G
114,Type de port USB,USB-C,Samsung Galaxy A56 128 Go Gris 5G
115,Connexion Lightning,,Samsung Galaxy A56 128 Go Gris 5G
116,Compatible avec Samsung DeX,,Samsung Galaxy A56 128 Go Gris 5G
117,Bouton d'accueil,,Samsung Galaxy A56 128 Go Gris 5G
118,Capteur d'empreintes digitales/identité,,Samsung Galaxy A56 128 Go Gris 5G
119,Installation du capteur d'empreintes digitales,En bas de l'écran,Samsung Galaxy A56 128 Go Gris 5G
120,Reconnaissance faciale,,Samsung Galaxy A56 128 Go Gris 5G
121,Accéléromètre,,Samsung Galaxy A56 128 Go Gris 5G
122,Capteur de lumière,,Samsung Galaxy A56 128 Go Gris 5G
123,Boussole,,Samsung Galaxy A56 128 Go Gris 5G
124,Podomètre,,Samsung Galaxy A56 128 Go Gris 5G
125,Capteur GPS,,Samsung Galaxy A56 128 Go Gris 5G
0,price,"€ 1.469,-",Apple iPhone 17 Pro Max 256 Go Bleu
1,Format téléphone portable,Très grand,Apple iPhone 17 Pro Max 256 Go Bleu
2,Qualité de la caméra,Excellent,Apple iPhone 17 Pro Max 256 Go Bleu
3,Catégorie de vitesse,Excellent,Apple iPhone 17 Pro Max 256 Go Bleu
4,Qualité écran,Excellent,Apple iPhone 17 Pro Max 256 Go Bleu
5,Capacité totale de stockage,256 Go,Apple iPhone 17 Pro Max 256 Go Bleu
6,Vitesse de chargement,Moyen,Apple iPhone 17 Pro Max 256 Go Bleu
7,Année d'introduction,2025,Apple iPhone 17 Pro Max 256 Go Bleu
8,Diagonale de l'écran,"6,9 p",Apple iPhone 17 Pro Max 256 Go Bleu
9,Produit,969451,Apple iPhone 17 Pro Max 256 Go Bleu
10,Code du fabricant,MFYP4ZD/A,Apple iPhone 17 Pro Max 256 Go Bleu
11,Marque,Apple,Apple iPhone 17 Pro Max 256 Go Bleu
12,Garantie,2 ans,Apple iPhone 17 Pro Max 256 Go Bleu
13,Traitement du défaut,Via Coolblue,Apple iPhone 17 Pro Max 256 Go Bleu
14,Type de GSM,Smartphone,Apple iPhone 17 Pro Max 256 Go Bleu
15,Utilisation recommandée,"Gaming, Internet, réseaux sociaux et jeux simples, Passer des appels et WhatsApp, Prendre des photos et faire des vidéos, Regarder des films et des séries, Retouche photo, Utilisation professionnelle",Apple iPhone 17 Pro Max 256 Go Bleu
16,Bundle comprenant,Pas d'accessoires,Apple iPhone 17 Pro Max 256 Go Bleu
17,Valeur et catégorie SAT,"1,2 W/kg (D)",Apple iPhone 17 Pro Max 256 Go Bleu
18,Année d'introduction,2025,Apple iPhone 17 Pro Max 256 Go Bleu
19,Mois de lancement,Septembre,Apple iPhone 17 Pro Max 256 Go Bleu
20,Système d'exploitation,iOS,Apple iPhone 17 Pro Max 256 Go Bleu
21,Version iOS à l'introduction,iOS 26,Apple iPhone 17 Pro Max 256 Go Bleu
22,Mise à jour vers version iOS possible,iOS 26,Apple iPhone 17 Pro Max 256 Go Bleu
23,Version iOs la plus récente,,Apple iPhone 17 Pro Max 256 Go Bleu
24,Le nombre prévu de mises à jour iOS,5,Apple iPhone 17 Pro Max 256 Go Bleu
25,Évaluation sur le nombre de mises à jour iOS restantes,Excellent,Apple iPhone 17 Pro Max 256 Go Bleu
26,Fréquence prévue des mises à jour de sécurité,Tous les trimestres,Apple iPhone 17 Pro Max 256 Go Bleu
27,Date prévue de la dernière mise à jour de sécurité,Septembre 2030,Apple iPhone 17 Pro Max 256 Go Bleu
28,Évaluation sur les mises à jour de sécurité restantes,Excellent,Apple iPhone 17 Pro Max 256 Go Bleu
29,Évaluation politique de mise à jour,Excellent,Apple iPhone 17 Pro Max 256 Go Bleu
30,Format téléphone portable,Très grand,Apple iPhone 17 Pro Max 256 Go Bleu
31,Hauteur,"16,34 cm",Apple iPhone 17 Pro Max 256 Go Bleu
32,Largeur,"7,8 cm",Apple iPhone 17 Pro Max 256 Go Bleu
33,Profondeur,"0,88 cm",Apple iPhone 17 Pro Max 256 Go Bleu
34,Poids,231 g,Apple iPhone 17 Pro Max 256 Go Bleu
35,Couleur,Bleu,Apple iPhone 17 Pro Max 256 Go Bleu
36,Certificat IP,IP68,Apple iPhone 17 Pro Max 256 Go Bleu
37,Antichoc,,Apple iPhone 17 Pro Max 256 Go Bleu
38,Reproduction sonore,Stéréo,Apple iPhone 17 Pro Max 256 Go Bleu
39,Aimant MagSafe,,Apple iPhone 17 Pro Max 256 Go Bleu
40,Catégorie de vitesse,Excellent,Apple iPhone 17 Pro Max 256 Go Bleu
41,Processeur,Puce A19 Pro Bionic,Apple iPhone 17 Pro Max 256 Go Bleu
42,Capacité totale de stockage,256 Go,Apple iPhone 17 Pro Max 256 Go Bleu
43,Mémoire vive (RAM),12 Go,Apple iPhone 17 Pro Max 256 Go Bleu
44,Lecteur de carte mémoire,,Apple iPhone 17 Pro Max 256 Go Bleu
45,Déverrouillé,,Apple iPhone 17 Pro Max 256 Go Bleu
46,Double SIM,,Apple iPhone 17 Pro Max 256 Go Bleu
47,Contenu tiroir carte SIM,Un emplacement carte SIM et un emplacement pour une carte SIM numérique (eSim),Apple iPhone 17 Pro Max 256 Go Bleu
48,Qualité de la caméra,Excellent,Apple iPhone 17 Pro Max 256 Go Bleu
49,Nombre d'objectifs de la caméra arrière,3,Apple iPhone 17 Pro Max 256 Go Bleu
50,Caméra intégrée,,Apple iPhone 17 Pro Max 256 Go Bleu
51,Nombre total de mégapixels,48 Mpx,Apple iPhone 17 Pro Max 256 Go Bleu
52,Mise au point automatique,,Apple iPhone 17 Pro Max 256 Go Bleu
53,Type de mise au point automatique,Détection de phase autofocus,Apple iPhone 17 Pro Max 256 Go Bleu
54,Fonction vidéo,,Apple iPhone 17 Pro Max 256 Go Bleu
55,Qualité d'enregistrement vidéo,4K @ 120 fps,Apple iPhone 17 Pro Max 256 Go Bleu
56,Flash arrière,,Apple iPhone 17 Pro Max 256 Go Bleu
57,Type d'objectif,Standard,Apple iPhone 17 Pro Max 256 Go Bleu
58,Type de stabilisation d'image,Stabilisation optique de l'image,Apple iPhone 17 Pro Max 256 Go Bleu
59,Diaphragme,"1,78",Apple iPhone 17 Pro Max 256 Go Bleu
60,Type de flash,Dual LED avec True Tone,Apple iPhone 17 Pro Max 256 Go Bleu
61,Caméra compatible avec la technologie HDR,,Apple iPhone 17 Pro Max 256 Go Bleu
62,Type de capteur d'image,"1/1.28""",Apple iPhone 17 Pro Max 256 Go Bleu
63,Deuxième appareil Photo arrière,,Apple iPhone 17 Pro Max 256 Go Bleu
64,Type objectif appareil photo arrière 2,Grand angle,Apple iPhone 17 Pro Max 256 Go Bleu
65,Nombre de mégapixels de la deuxième caméra arrière,48 Mpx,Apple iPhone 17 Pro Max 256 Go Bleu
66,Diaphragme fixe de la deuxième caméra arrière,"2,2",Apple iPhone 17 Pro Max 256 Go Bleu
67,Type de stabilisation d'image de la deuxième caméra arrière,Pas de stabilisation d'image,Apple iPhone 17 Pro Max 256 Go Bleu
68,Mise au point automatique deuxième caméra au dos,,Apple iPhone 17 Pro Max 256 Go Bleu
69,Type autofocus tweede camera achterkant,Détection de phase autofocus,Apple iPhone 17 Pro Max 256 Go Bleu
70,Fonction zoom optique deuxième caméra au dos,,Apple iPhone 17 Pro Max 256 Go Bleu
71,Troisième caméra arrière,,Apple iPhone 17 Pro Max 256 Go Bleu
72,Type d'objectif caméra arrière 3,Téléobjectif,Apple iPhone 17 Pro Max 256 Go Bleu
73,Nombre de mégapixels troisième caméra arrière,48 Mpx,Apple iPhone 17 Pro Max 256 Go Bleu
74,Ouverture fixe du diaphragme de la troisième caméra arrière,"2,8",Apple iPhone 17 Pro Max 256 Go Bleu
75,Mise au point automatique troisième caméra au dos,,Apple iPhone 17 Pro Max 256 Go Bleu
76,Type autofocus derde camera achterkant,Détection de phase autofocus,Apple iPhone 17 Pro Max 256 Go Bleu
77,Type de stabilisation optique troisième caméra arrière,Stabilisation d'image optique,Apple iPhone 17 Pro Max 256 Go Bleu
78,Fonction zoom optique troisième caméra au dos,,Apple iPhone 17 Pro Max 256 Go Bleu
79,Zoom optique sur la troisième caméra arrière,4,Apple iPhone 17 Pro Max 256 Go Bleu
80,Quatrième caméra au dos,,Apple iPhone 17 Pro Max 256 Go Bleu
81,Cinquième appareil photo à l'arrière,,Apple iPhone 17 Pro Max 256 Go Bleu
82,Caméra avant,,Apple iPhone 17 Pro Max 256 Go Bleu
83,Type de caméra avant,Dans l'écran,Apple iPhone 17 Pro Max 256 Go Bleu
84,Nombre de mégapixels appareil photo avant,18 Mpx,Apple iPhone 17 Pro Max 256 Go Bleu
85,Diaphragme fixe de la caméra avant,"1,9",Apple iPhone 17 Pro Max 256 Go Bleu
86,Type de stabilisation d'image caméra avant,Stabilisation optique de l'image,Apple iPhone 17 Pro Max 256 Go Bleu
87,Flash avant,,Apple iPhone 17 Pro Max 256 Go Bleu
88,Deuxième caméra avant,,Apple iPhone 17 Pro Max 256 Go Bleu
89,Diagonale de l'écran,"6,9 p",Apple iPhone 17 Pro Max 256 Go Bleu
90,Screen-to-body-ratio,"94,25 %",Apple iPhone 17 Pro Max 256 Go Bleu
91,Qualité écran,Excellent,Apple iPhone 17 Pro Max 256 Go Bleu
92,Pliable,,Apple iPhone 17 Pro Max 256 Go Bleu
93,Taux de rafraîchissement,120 Hz,Apple iPhone 17 Pro Max 256 Go Bleu
94,Densité de pixels,460 ppp,Apple iPhone 17 Pro Max 256 Go Bleu
95,LED de notification,,Apple iPhone 17 Pro Max 256 Go Bleu
96,Écran tactile,,Apple iPhone 17 Pro Max 256 Go Bleu
97,Netteté,Super Retina XDR,Apple iPhone 17 Pro Max 256 Go Bleu
98,Type d'écran,OLED,Apple iPhone 17 Pro Max 256 Go Bleu
99,Antigriffes,,Apple iPhone 17 Pro Max 256 Go Bleu
100,Gorilla Glass,,Apple iPhone 17 Pro Max 256 Go Bleu
101,Coup de pouce pour votre HDR,,Apple iPhone 17 Pro Max 256 Go Bleu
102,Type HDR,"Dolby Vision, HDR10",Apple iPhone 17 Pro Max 256 Go Bleu
103,Capacité batterie/pile,5088 mAh,Apple iPhone 17 Pro Max 256 Go Bleu
104,Fonction charge rapide,,Apple iPhone 17 Pro Max 256 Go Bleu
105,Type de charge rapide,Power Delivery 3.0,Apple iPhone 17 Pro Max 256 Go Bleu
106,Batterie chargée en 30 minutes,Entre 51 % et 60 %,Apple iPhone 17 Pro Max 256 Go Bleu
107,Vitesse de chargement,Moyen,Apple iPhone 17 Pro Max 256 Go Bleu
108,Puissance filaire charge rapide,40 W,Apple iPhone 17 Pro Max 256 Go Bleu
109,Recharge sans fil,,Apple iPhone 17 Pro Max 256 Go Bleu
110,Puissance charge rapide sans fil,25 W,Apple iPhone 17 Pro Max 256 Go Bleu
111,Pour charger d'autres appareils sans fil,,Apple iPhone 17 Pro Max 256 Go Bleu
112,Accu/batterie interchangeable,,Apple iPhone 17 Pro Max 256 Go Bleu
113,Options de connexion internet,4G et 5G,Apple iPhone 17 Pro Max 256 Go Bleu
114,Wi-Fi intégré,,Apple iPhone 17 Pro Max 256 Go Bleu
115,Standard Wi-Fi,"Wi-Fi B (Wi-Fi 2), Wi-Fi G (Wi-Fi 3), Wireless A (Wifi 2), Wireless AC (Wi-Fi 5), Wireless AX (Wi-Fi 6), Wireless AXE (Wifi 6E), Wireless B (Wifi 1), Wireless BE (Wifi 7), Wireless N (Wi-Fi 4)",Apple iPhone 17 Pro Max 256 Go Bleu
116,Bluetooth,,Apple iPhone 17 Pro Max 256 Go Bleu
117,Version Bluetooth,6.0,Apple iPhone 17 Pro Max 256 Go Bleu
118,NFC,,Apple iPhone 17 Pro Max 256 Go Bleu
119,Connexion casque audio,,Apple iPhone 17 Pro Max 256 Go Bleu
120,Connexion USB,,Apple iPhone 17 Pro Max 256 Go Bleu
121,Type de port USB,USB-C,Apple iPhone 17 Pro Max 256 Go Bleu
122,Connexion Lightning,,Apple iPhone 17 Pro Max 256 Go Bleu
123,Compatible avec Samsung DeX,,Apple iPhone 17 Pro Max 256 Go Bleu
124,Bouton d'accueil,,Apple iPhone 17 Pro Max 256 Go Bleu
125,Capteur d'empreintes digitales/identité,,Apple iPhone 17 Pro Max 256 Go Bleu
126,Reconnaissance faciale,,Apple iPhone 17 Pro Max 256 Go Bleu
127,Accéléromètre,,Apple iPhone 17 Pro Max 256 Go Bleu
128,Capteur de lumière,,Apple iPhone 17 Pro Max 256 Go Bleu
129,Boussole,,Apple iPhone 17 Pro Max 256 Go Bleu
130,Podomètre,,Apple iPhone 17 Pro Max 256 Go Bleu
131,Capteur GPS,,Apple iPhone 17 Pro Max 256 Go Bleu
0,price,"€ 739,-",Google Pixel 10 256 Go Noir 5G
1,Format téléphone portable,Moyen,Google Pixel 10 256 Go Noir 5G
2,Qualité de la caméra,Excellent,Google Pixel 10 256 Go Noir 5G
3,Catégorie de vitesse,Très bien,Google Pixel 10 256 Go Noir 5G
4,Qualité écran,Très bien,Google Pixel 10 256 Go Noir 5G
5,Capacité totale de stockage,256 Go,Google Pixel 10 256 Go Noir 5G
6,Vitesse de chargement,Moyen,Google Pixel 10 256 Go Noir 5G
7,Année d'introduction,2025,Google Pixel 10 256 Go Noir 5G
8,Diagonale de l'écran,"6,3 p",Google Pixel 10 256 Go Noir 5G
9,Produit,969260,Google Pixel 10 256 Go Noir 5G
10,Code du fabricant,GA09883-GB,Google Pixel 10 256 Go Noir 5G
11,Marque,Google,Google Pixel 10 256 Go Noir 5G
12,Garantie,2 ans,Google Pixel 10 256 Go Noir 5G
13,Traitement du défaut,Via Coolblue,Google Pixel 10 256 Go Noir 5G
14,Type de GSM,Smartphone,Google Pixel 10 256 Go Noir 5G
15,Utilisation recommandée,"Gaming, Internet, réseaux sociaux et jeux simples, Prendre des photos et faire des vidéos, Regarder des films et des séries",Google Pixel 10 256 Go Noir 5G
16,Année d'introduction,2025,Google Pixel 10 256 Go Noir 5G
17,Mois de lancement,Septembre,Google Pixel 10 256 Go Noir 5G
18,Système d'exploitation,Android,Google Pixel 10 256 Go Noir 5G
19,Android One,,Google Pixel 10 256 Go Noir 5G
20,Version Android à l'introduction,Android 16,Google Pixel 10 256 Go Noir 5G
21,Mise à jour vers version Android possible,Mise à jour pas encore possible,Google Pixel 10 256 Go Noir 5G
22,La dernière version Android,,Google Pixel 10 256 Go Noir 5G
23,Le nombre prévu de mises à jour Android,7,Google Pixel 10 256 Go Noir 5G
24,Évaluation sur le nombre de mises à jour Android restantes,Excellent,Google Pixel 10 256 Go Noir 5G
25,Fréquence prévue des mises à jour de sécurité,Tous les mois,Google Pixel 10 256 Go Noir 5G
26,Date prévue de la dernière mise à jour de sécurité,Aout 2032,Google Pixel 10 256 Go Noir 5G
27,Évaluation sur les mises à jour de sécurité restantes,Excellent,Google Pixel 10 256 Go Noir 5G
28,Évaluation politique de mise à jour,Excellent,Google Pixel 10 256 Go Noir 5G
29,Format téléphone portable,Moyen,Google Pixel 10 256 Go Noir 5G
30,Hauteur,"15,2 cm",Google Pixel 10 256 Go Noir 5G
31,Largeur,"7,2 cm",Google Pixel 10 256 Go Noir 5G
32,Profondeur,"8,6 cm",Google Pixel 10 256 Go Noir 5G
33,Poids,204 g,Google Pixel 10 256 Go Noir 5G
34,Couleur,Noir,Google Pixel 10 256 Go Noir 5G
35,Certificat IP,IP68,Google Pixel 10 256 Go Noir 5G
36,Antichoc,,Google Pixel 10 256 Go Noir 5G
37,Reproduction sonore,Stéréo,Google Pixel 10 256 Go Noir 5G
38,Aimant MagSafe,,Google Pixel 10 256 Go Noir 5G
39,Catégorie de vitesse,Très bien,Google Pixel 10 256 Go Noir 5G
40,Processeur,Google Tensor,Google Pixel 10 256 Go Noir 5G
41,Capacité totale de stockage,256 Go,Google Pixel 10 256 Go Noir 5G
42,Mémoire vive (RAM),12 Go,Google Pixel 10 256 Go Noir 5G
43,Lecteur de carte mémoire,,Google Pixel 10 256 Go Noir 5G
44,Déverrouillé,,Google Pixel 10 256 Go Noir 5G
45,Double SIM,,Google Pixel 10 256 Go Noir 5G
46,Contenu tiroir carte SIM,Un emplacement carte SIM et un emplacement pour une carte SIM numérique (eSim),Google Pixel 10 256 Go Noir 5G
47,Qualité de la caméra,Excellent,Google Pixel 10 256 Go Noir 5G
48,Caméra intégrée,,Google Pixel 10 256 Go Noir 5G
49,Nombre total de mégapixels,48 Mpx,Google Pixel 10 256 Go Noir 5G
50,Mise au point automatique,,Google Pixel 10 256 Go Noir 5G
51,Fonction vidéo,,Google Pixel 10 256 Go Noir 5G
52,Qualité d'enregistrement vidéo,4K @ 60 fps,Google Pixel 10 256 Go Noir 5G
53,Flash arrière,,Google Pixel 10 256 Go Noir 5G
54,Type d'objectif,"Grand angle , Téléobjectif",Google Pixel 10 256 Go Noir 5G
55,Type de stabilisation d'image,Stabilisation optique de l'image,Google Pixel 10 256 Go Noir 5G
56,Caméra compatible avec la technologie HDR,,Google Pixel 10 256 Go Noir 5G
57,Caméra avant,,Google Pixel 10 256 Go Noir 5G
58,Nombre de mégapixels appareil photo avant,"10,5 Mpx",Google Pixel 10 256 Go Noir 5G
59,Type de stabilisation d'image caméra avant,Stabilisation d'image électronique,Google Pixel 10 256 Go Noir 5G
60,Diagonale de l'écran,"6,3 p",Google Pixel 10 256 Go Noir 5G
61,Screen-to-body-ratio,"86,1 %",Google Pixel 10 256 Go Noir 5G
62,Qualité écran,Très bien,Google Pixel 10 256 Go Noir 5G
63,Pliable,,Google Pixel 10 256 Go Noir 5G
64,Taux de rafraîchissement,120 Hz,Google Pixel 10 256 Go Noir 5G
65,Densité de pixels,422 ppp,Google Pixel 10 256 Go Noir 5G
66,LED de notification,,Google Pixel 10 256 Go Noir 5G
67,Écran tactile,,Google Pixel 10 256 Go Noir 5G
68,Netteté,Full HD (1080p),Google Pixel 10 256 Go Noir 5G
69,Type d'écran,OLED,Google Pixel 10 256 Go Noir 5G
70,Antigriffes,,Google Pixel 10 256 Go Noir 5G
71,Gorilla Glass,,Google Pixel 10 256 Go Noir 5G
72,Gorilla Glass Type,Gorilla Glass Victus 2,Google Pixel 10 256 Go Noir 5G
73,Coup de pouce pour votre HDR,,Google Pixel 10 256 Go Noir 5G
74,Capacité batterie/pile,4970 Ah,Google Pixel 10 256 Go Noir 5G
75,Fonction charge rapide,,Google Pixel 10 256 Go Noir 5G
76,Batterie chargée en 30 minutes,Entre 41 % et 50 %,Google Pixel 10 256 Go Noir 5G
77,Vitesse de chargement,Moyen,Google Pixel 10 256 Go Noir 5G
78,Puissance filaire charge rapide,30 W,Google Pixel 10 256 Go Noir 5G
79,Recharge sans fil,,Google Pixel 10 256 Go Noir 5G
80,Accu/batterie interchangeable,,Google Pixel 10 256 Go Noir 5G
81,Options de connexion internet,4G et 5G,Google Pixel 10 256 Go Noir 5G
82,Wi-Fi intégré,,Google Pixel 10 256 Go Noir 5G
83,Standard Wi-Fi,"Wi-Fi G (Wi-Fi 3), Wireless A (Wifi 2), Wireless AC (Wi-Fi 5), Wireless AX (Wi-Fi 6), Wireless AXE (Wifi 6E), Wireless B (Wifi 1), Wireless N (Wi-Fi 4)",Google Pixel 10 256 Go Noir 5G
84,Bluetooth,,Google Pixel 10 256 Go Noir 5G
85,Version Bluetooth,6.0,Google Pixel 10 256 Go Noir 5G
86,NFC,,Google Pixel 10 256 Go Noir 5G
87,Connexion casque audio,,Google Pixel 10 256 Go Noir 5G
88,Connexion USB,,Google Pixel 10 256 Go Noir 5G
89,Type de port USB,USB-C,Google Pixel 10 256 Go Noir 5G
90,Connexion Lightning,,Google Pixel 10 256 Go Noir 5G
91,Compatible avec Samsung DeX,,Google Pixel 10 256 Go Noir 5G
92,Bouton d'accueil,,Google Pixel 10 256 Go Noir 5G
93,Capteur d'empreintes digitales/identité,,Google Pixel 10 256 Go Noir 5G
94,Installation du capteur d'empreintes digitales,En bas de l'écran,Google Pixel 10 256 Go Noir 5G
95,Reconnaissance faciale,,Google Pixel 10 256 Go Noir 5G
96,Accéléromètre,,Google Pixel 10 256 Go Noir 5G
97,Capteur de lumière,,Google Pixel 10 256 Go Noir 5G
98,Boussole,,Google Pixel 10 256 Go Noir 5G
99,Podomètre,,Google Pixel 10 256 Go Noir 5G
100,Capteur GPS,,Google Pixel 10 256 Go Noir 5G
0,price,"€ 1.479,-",Apple iPhone 17 Pro Max 256 Go Orange
1,Format téléphone portable,Très grand,Apple iPhone 17 Pro Max 256 Go Orange
2,Qualité de la caméra,Excellent,Apple iPhone 17 Pro Max 256 Go Orange
3,Catégorie de vitesse,Excellent,Apple iPhone 17 Pro Max 256 Go Orange
4,Qualité écran,Excellent,Apple iPhone 17 Pro Max 256 Go Orange
5,Capacité totale de stockage,256 Go,Apple iPhone 17 Pro Max 256 Go Orange
6,Vitesse de chargement,Moyen,Apple iPhone 17 Pro Max 256 Go Orange
7,Année d'introduction,2025,Apple iPhone 17 Pro Max 256 Go Orange
8,Diagonale de l'écran,"6,9 p",Apple iPhone 17 Pro Max 256 Go Orange
9,Produit,968966,Apple iPhone 17 Pro Max 256 Go Orange
10,Code du fabricant,MFYN4ZD/A,Apple iPhone 17 Pro Max 256 Go Orange
11,Marque,Apple,Apple iPhone 17 Pro Max 256 Go Orange
12,Garantie,2 ans,Apple iPhone 17 Pro Max 256 Go Orange
13,Traitement du défaut,Via Coolblue,Apple iPhone 17 Pro Max 256 Go Orange
14,Type de GSM,Smartphone,Apple iPhone 17 Pro Max 256 Go Orange
15,Utilisation recommandée,"Gaming, Internet, réseaux sociaux et jeux simples, Passer des appels et WhatsApp, Prendre des photos et faire des vidéos, Regarder des films et des séries, Retouche photo, Utilisation professionnelle",Apple iPhone 17 Pro Max 256 Go Orange
16,Bundle comprenant,Pas d'accessoires,Apple iPhone 17 Pro Max 256 Go Orange
17,Valeur et catégorie SAT,"1,2 W/kg (D)",Apple iPhone 17 Pro Max 256 Go Orange
18,Année d'introduction,2025,Apple iPhone 17 Pro Max 256 Go Orange
19,Mois de lancement,Septembre,Apple iPhone 17 Pro Max 256 Go Orange
20,Système d'exploitation,iOS,Apple iPhone 17 Pro Max 256 Go Orange
21,Version iOS à l'introduction,iOS 26,Apple iPhone 17 Pro Max 256 Go Orange
22,Mise à jour vers version iOS possible,iOS 26,Apple iPhone 17 Pro Max 256 Go Orange
23,Version iOs la plus récente,,Apple iPhone 17 Pro Max 256 Go Orange
24,Le nombre prévu de mises à jour iOS,5,Apple iPhone 17 Pro Max 256 Go Orange
25,Évaluation sur le nombre de mises à jour iOS restantes,Excellent,Apple iPhone 17 Pro Max 256 Go Orange
26,Fréquence prévue des mises à jour de sécurité,Tous les trimestres,Apple iPhone 17 Pro Max 256 Go Orange
27,Date prévue de la dernière mise à jour de sécurité,Septembre 2030,Apple iPhone 17 Pro Max 256 Go Orange
28,Évaluation sur les mises à jour de sécurité restantes,Excellent,Apple iPhone 17 Pro Max 256 Go Orange
29,Évaluation politique de mise à jour,Excellent,Apple iPhone 17 Pro Max 256 Go Orange
30,Format téléphone portable,Très grand,Apple iPhone 17 Pro Max 256 Go Orange
31,Hauteur,"16,34 cm",Apple iPhone 17 Pro Max 256 Go Orange
32,Largeur,"7,8 cm",Apple iPhone 17 Pro Max 256 Go Orange
33,Profondeur,"0,88 cm",Apple iPhone 17 Pro Max 256 Go Orange
34,Poids,231 g,Apple iPhone 17 Pro Max 256 Go Orange
35,Couleur,Orange,Apple iPhone 17 Pro Max 256 Go Orange
